trait,country,admin1,admin2,collection_date,latitude,longitude,location_used
PQ284579|A/Sterna_hirundo/SaoFranciscoItabapoanaBR/1060-N-2024/2024|H5N1|Brazil-RJ|2024-04-05|wild_avian|B3.2,Brazil,RJ,Sao Francisco de Itabapoana,2024-04-05,-21.299972,-40.966472,precise
PP782339|A/Sterna_hirundo/Cabo_FrioBR/0613-N/2024|H5N1|Brazil-RJ|2024-03-09|wild_avian|B3.2,Brazil,RJ,Cabo Frio,2024-03-09,-22.5978,-41.994,precise (https://www.sciencedirect.com/science/article/pii/S0168170224001084?via%3Dihub)
OR420092|A/Fregata_magnificens/RJ/1532-N/2023|H5N1|Brazil-RJ|2023-06-03|wild_avian|B3.2,Brazil,RJ,Niteroi,2023-06-03,-22.95947,-43.06116,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP779933|A/Sterna_hirundo/MacaeBR/0177-N/2024|H5N1|Brazil-RJ|2024-02-09|wild_avian|B3.2,Brazil,RJ,Macae,2024-02-09,-22.341605,-41.744273,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP785021|A/Sterna_hirundo/RiodasOstrasBR/0721-N/2024|H5N1|Brazil-RJ|2024-03-15|wild_avian|B3.2,Brazil,RJ,Rio das Ostras,2024-03-15,-22.52196111,-41.94401111,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP390166|A/Thalasseus_maximus/RioGrandeSul/2177-N/2023|H5N1|Brazil-RS|2023-10-13|wild_avian|B3.2,Brazil,RS,Sao Jose do Norte,2023-10-13,-32.011622,-51.949222,precise (https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/)
OR844540|A/Otaria_flavescens/Rio_Grande/2148-N/2023|H5N1|Brazil-RS|2023-10-03|other_mammal|B3.2,Brazil,RS,Rio Grande,2023-10-03,-32.174091,-52.13725,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
OR881253|A/Numida_meleagris/Maracaja/1843-N3/2023|H5N1|Brazil-SC|2023-07-15|domestic_avian|B3.2,Brazil,SC,Maracaja,2023-07-15,-28.8211,-49.4211,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP769614|A/Sterna_hirundo/PenhaBR/2261-N/2023|H5N1|Brazil-SC|2023-11-09|wild_avian|B3.2,Brazil,SC,Penha,2023-11-09,-26.792738,-48.61598,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
OR860361|A/Thalasseus_maximus/Itapoa/1941-N/2023|H5N1|Brazil-SC|2023-09-25|wild_avian|B3.2,Brazil,SC,Itapoa,2023-09-25,-26.184561,-48.608717,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
