trait	country	admin1	admin2	precision	latitude	longitude
A/snow_goose/Mississippi/22-038821-004/2022|H5N1|USA-MS|2022-11-23|avian|B3.2	USA-MS	Mississippi	Tallahatchie	county	34.0639834325822	-90.2513907113692
A/snow_goose/Mississippi/22-038821-010/2022|H5N1|USA-MS|2022-11-23|avian|B3.2	USA-MS	Mississippi	Tallahatchie	county	33.8328121756163	-90.138957315115
A/snow_goose/Mississippi/22-038821-023/2022|H5N1|USA-MS|2022-11-23|avian|B3.2	USA-MS	Mississippi	Tallahatchie	county	34.0445000751328	-90.4049548179105
A/snow_goose/Mississippi/22-038821-024/2022|H5N1|USA-MS|2022-11-23|avian|B3.2	USA-MS	Mississippi	Tallahatchie	county	34.07200870652	-90.3101714437709
A/snow_goose/Mississippi/22-038821-030/2022|H5N1|USA-MS|2022-11-23|avian|B3.2	USA-MS	Mississippi	Tallahatchie	county	33.7813853556189	-90.1523286169288
A/goose/Arkansas/22-036798-001/2022|H5N1|US-AR|2022-11-14|avian|B3.2	US-AR	Arkansas	Jefferson	county	34.2799876673912	-92.065596613012
A/lesser_white-fronted_goose/Mississippi/22-041057-001/2022|H5N1|USA-MS|2022-12-08|avian|B3.2	USA-MS	Mississippi	Lafayette	county	34.4131780166034	-89.3450783475128
A/blue_winged_teal/Oklahoma/22-029332-005/2022|H5N1|USA-OK|2022-09-10|avian|B3.2	USA-OK	Oklahoma	Tillman	county	34.3996332469196	-98.7597904393882
A/blue_winged_teal/Oklahoma/22-029332-011/2022|H5N1|USA-OK|2022-09-10|avian|B3.2	USA-OK	Oklahoma	Tillman	county	34.3558343465935	-98.9471412058192
A/blue_winged_teal/Oklahoma/22-029332-023/2022|H5N1|USA-OK|2022-09-10|avian|B3.2	USA-OK	Oklahoma	Tillman	county	34.3253756279494	-98.7724122159202
A/blue_winged_teal/Oklahoma/22-029332-034/2022|H5N1|USA-OK|2022-09-10|avian|B3.2	USA-OK	Oklahoma	Tillman	county	34.4632869374155	-98.8128931392347
A/american_blue_winged_teal/Oklahoma/22-032994-002/2022|H5N1|USA-OK|2022-10-10|avian|B3.2	USA-OK	Oklahoma	Tillman	county	34.4497969758576	-98.9512444469065
