trait,location,latitude,longitude,coordinate_type
A/chicken/Kansas/24-035703-001/2024|H5N1|USA-KS|2024-12-02|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/chicken/Kansas/24-035703-002/2024|H5N1|USA-KS|2024-12-02|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/turkey/Kansas/24-036528-001/2024|H5N1|USA-KS|2024-12-07|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pelican/Kansas/24-037429-001/2024|H5N1|USA-KS|2024-12-09|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/bobcat/KS/24-038225-002/2024|H5N1|USA-KS|2024-12-13|other_mammal|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-001/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-002/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-003/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-005/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-006/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-007/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-008/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-009/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037794-010/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/pheasant/Kansas/24-037810-001/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/chicken/Kansas/24-038163-001/2024|H5N1|USA-KS|2024-12-16|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/Chicken/KS/24-038592-001/2024|H5N1|USA-KS|2024-12-23|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/Chicken/KS/24-038592-002/2024|H5N1|USA-KS|2024-12-23|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/Chicken/KS/24-038653-001/2024|H5N1|USA-KS|2024-12-26|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/Chicken/KS/24-038653-002/2024|H5N1|USA-KS|2024-12-26|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/GUINEAFOWL/KS/24-038653-003/2024|H5N1|USA-KS|2024-12-26|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/Chicken/KS/24-038657-001/2024|H5N1|USA-KS|2024-12-26|avian|D1.1,USA-KS,38.5,-98.3309,centroid
A/chicken/Louisiana/24-037003-001/2024|H5N1|USA-LA|2024-12-09|avian|D1.1,USA-LA,30.5274,-91.9991,centroid
A/chicken/Louisiana/24-037801-001/2024|H5N1|USA-LA|2024-12-09|avian|D1.1,USA-LA,30.5274,-91.9991,centroid
A/chicken/Louisiana/24-037801-002/2024|H5N1|USA-LA|2024-12-09|avian|D1.1,USA-LA,30.5274,-91.9991,centroid
A/chicken/Louisiana/24-037801-003/2024|H5N1|USA-LA|2024-12-09|avian|D1.1,USA-LA,30.5274,-91.9991,centroid
A/chicken/Louisiana/24-037801-004/2024|H5N1|USA-LA|2024-12-09|avian|D1.1,USA-LA,30.5274,-91.9991,centroid
A/Louisiana/12/2024|H5N1|USA-LA|2024-12-11|human|D1.1,USA-LA,30.5274,-91.9991,centroid
A/Turkey/MI/24-038285-001/2024|H5N1|USA-MI|2024-12-15|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/24-038978-001/2024|H5N1|USA-MI|2024-12-27|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/24-038978-002/2024|H5N1|USA-MI|2024-12-27|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/24-038979-001/2024|H5N1|USA-MI|2024-12-27|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/24-038979-002/2024|H5N1|USA-MI|2024-12-27|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/24-038977-001/2024|H5N1|USA-MI|2024-12-28|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/24-038977-002/2024|H5N1|USA-MI|2024-12-29|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/25-000204-001/2025|H5N1|USA-MI|2025-01-02|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/25-000204-002/2025|H5N1|USA-MI|2025-01-02|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/25-000205-001/2025|H5N1|USA-MI|2025-01-02|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
A/Turkey/MI/25-000205-002/2025|H5N1|USA-MI|2025-01-02|avian|D1.1,USA-MI,43.4343,-84.9479,centroid
