state	joint	prior	likelihood	flyway.clock.rate	flyway.meanRate	flyway.rates.Atlantic.Central	flyway.rates.Atlantic.Mississippi	flyway.rates.Atlantic.Pacific	flyway.rates.Central.Mississippi	flyway.rates.Central.Pacific	flyway.rates.Mississippi.Pacific	flyway.rates.Central.Atlantic	flyway.rates.Mississippi.Atlantic	flyway.rates.Pacific.Atlantic	flyway.rates.Mississippi.Central	flyway.rates.Pacific.Central	flyway.rates.Pacific.Mississippi	flyway.indicators.Atlantic.Central	flyway.indicators.Atlantic.Mississippi	flyway.indicators.Atlantic.Pacific	flyway.indicators.Central.Mississippi	flyway.indicators.Central.Pacific	flyway.indicators.Mississippi.Pacific	flyway.indicators.Central.Atlantic	flyway.indicators.Mississippi.Atlantic	flyway.indicators.Pacific.Atlantic	flyway.indicators.Mississippi.Central	flyway.indicators.Pacific.Central	flyway.indicators.Pacific.Mississippi	flyway.nonZeroRates	flyway.branchRates	c_flyway.count[1]	c_allTransitions[1]
1100000	-776.5141554424997	-129.471572499817	-647.0425829426828	0.6567245695266628	0.656724569526665	0.09111683811307354	0.4761760127439835	0.9407353833365898	1.8318832237234683	0.12156737636471018	1.9398451197378763	1.3040207741572272	1.4741941901908875	0.4655487102314436	0.7849041415696328	2.679554196428622	1.269851738904559	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	214.0	221.0
1200000	-743.1998114208659	-116.521498351995	-626.6783130688709	0.575364697347718	0.575364697347719	0.020170661821488488	0.16547438912275705	0.2938258528177135	1.102945919531431	0.06021265677477903	0.16557786174598443	0.22565360487550212	1.157042547326096	0.22646121012362022	0.3179036217065278	1.9354510570863765	0.3949802021144514	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	207.0	209.0
1300000	-761.341199150006	-127.88072754064396	-633.460471609362	0.6688701919804139	0.6688701919804142	0.30596312432020534	0.38041648343367024	0.1733345183153897	1.9939758957322797	0.1334184783486075	0.6578105036995903	0.1398095822275074	0.7612051912626134	0.5707039143827414	0.42714370134264407	3.5853325870385957	0.682876773018549	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	221.0	228.0
1400000	-772.9182242892427	-111.8407220268452	-661.0775022623975	0.5579088927331052	0.5579088927331055	0.31736851565834817	0.2808190057858917	2.9701728213353116	1.9180127294246938	0.21632657056768137	1.7071693952303852	0.31115220338459365	1.1378797450406293	0.28089815725568695	0.7557751717501872	2.884881235234148	1.315824852041096	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	214.0	213.0
1500000	-768.4116390356699	-126.86963877090743	-641.5420002647625	0.618598553223021	0.6185985532230213	2.554556056260388	0.6257289293315248	0.6155912379596569	2.2322435346889558	0.03477557895043363	1.3281549608541257	0.47143578356268034	1.6130088838909067	0.39214799837539577	0.47062474562412354	3.48433966203024	1.4308014336178931	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	216.0	214.0
1600000	-771.8156048164802	-118.5133789351623	-653.3022258813179	0.6329276381826262	0.6329276381826258	0.07766987702329319	0.588057037057301	0.44727339621113293	1.1955301157907428	0.28330724898730036	0.5831089182617795	0.1735269434393937	0.9524500678503545	0.42011460848417503	0.48260399994390113	2.0384413964643864	0.6019853579995182	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	214.0	222.0
1700000	-770.0105134635523	-132.7438309237463	-637.2666825398061	0.6662065629914885	0.6662065629914862	3.2752746311012766	0.1317616259533135	1.361006258332123	1.4365274837820636	0.26552285075528864	2.810424635285078	0.46065321959747846	0.8952521624951147	1.3031372462598594	0.17289654586509987	2.0452790796853866	0.6904596560199254	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0	0.0	220.0	218.0
1800000	-775.7350619087804	-142.14374183577598	-633.5913200730045	0.7271618673097131	0.7271618673097129	0.8344049057172416	0.13002085602755795	3.096585724212323	0.8652095905672567	0.07453789532990387	0.18294703004191648	0.3816034377112718	0.7430980818164142	4.458664549437748	0.31752774639835113	2.2267611967921597	0.5619758242331289	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0	0.0	229.0	227.0
1900000	-768.1798379294075	-134.84122031796457	-633.3386176114429	0.6600557437763329	0.6600557437763324	0.3911994081099863	0.34148038027612904	4.147313853491592	1.6012409024925474	0.30535057661912396	0.5526392287010423	0.33216062419082015	1.770383994994704	0.834269236571484	0.6714606941194656	3.4574683757714757	1.8196086188645288	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	211.0	213.0
2000000	-768.3022278879599	-122.76947628212154	-645.5327516058384	0.6143631950407036	0.6143631950407039	0.6559037523567693	0.28449184022522106	0.09507158390788863	2.759665860627672	0.3632962431193344	0.7077992154898923	0.4286952509723985	1.218747874649387	0.5668788086955702	0.7594901107095537	3.2897334298172543	1.0091259619106505	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	218.0	223.0
